Headline,Source,URL,word_count,unique_words,type_token_ratio,exclamation_count,question_count,comma_count,Polarity,Subjectivity
Iran's new supreme leader vows to keep blocking Strait of Hormuz in first statement released by regime,BBC,,17.0,17.0,1.0,0.0,0.0,0.0,0.19318181818181818,0.3939393939393939
'What if we're left with ruins?': Doubts creep in for Iranians who supported war,BBC,,15.0,15.0,1.0,0.0,1.0,0.0,-0.075,0.1
Nineteen jailed over deadly Moscow concert attack,BBC,,7.0,7.0,1.0,0.0,0.0,0.0,-0.2,0.4
British man charged in Dubai for alleged filming of Iranian missiles,BBC,,11.0,11.0,1.0,0.0,0.0,0.0,-0.05,0.05
FBI responding to 'apparent vehicle ramming and active shooter' at Michigan synagogue,BBC,,12.0,12.0,1.0,0.0,0.0,0.0,-0.041666666666666664,0.475
Questions mount for Hegseth over possible US involvement in strike on Iranian school,BBC,,13.0,13.0,1.0,0.0,0.0,0.0,0.0,1.0
"Epstein used modelling agent to recruit girls, Brazilian women tell BBC",BBC,,11.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0
Sly fox sneaks onto cargo ship in England and arrives in New York,BBC,,13.0,12.0,0.9230769230769231,0.0,0.0,0.0,0.13636363636363635,0.45454545454545453
Customer sues Costco for tariff refunds,BBC,,6.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0
Rapper-politician Balendra Shah's party wins Nepal election,BBC,,8.0,8.0,1.0,0.0,0.0,0.0,0.3,0.2
Video shows moment point-blank gunshot misses Indian politician,BBC,,9.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0
Jo Malone sued for using her own name in collaboration with Zara,BBC,,12.0,12.0,1.0,0.0,0.0,0.0,0.6,1.0
"Nasa spacecraft weighing 1,300lb re-enters Earth's atmosphere",BBC,,8.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0
What on earth is going on with the oil price?,BBC,,10.0,9.0,0.9,0.0,1.0,0.0,0.0,0.0
"UK troops at Iraq base shot down Iranian drones, Healey says",BBC,,11.0,11.0,1.0,0.0,0.0,1.0,-0.4777777777777778,0.6444444444444445
Justified or not? US military families on fears of Iran war,BBC,,11.0,11.0,1.0,0.0,1.0,0.0,0.15000000000000002,0.5
How Iran war laid bare the world's reliance on Gulf oil and gas,BBC,,13.0,13.0,1.0,0.0,0.0,0.0,0.05,0.1
What did we learn from China's biggest political meeting?,BBC,,9.0,9.0,1.0,0.0,1.0,0.0,0.0,0.1
My identity was stolen and someone is using it to catfish men - it's terrifying,BBC,,14.0,14.0,1.0,0.0,0.0,0.0,-1.0,1.0
The Christian-Muslim couple who are fasting for Lent and Ramadan at the same time,BBC,,15.0,14.0,0.9333333333333333,0.0,0.0,0.0,0.0,0.125
'I imagine they had a healthy sex life early on' - Jones and Grant in Austen-inspired drama,BBC,,17.0,17.0,1.0,0.0,0.0,0.0,0.3,0.4
A small US grocer is calling out the lower prices at big chains,BBC,,13.0,13.0,1.0,0.0,0.0,0.0,-0.125,0.25
"How a lost suitcase led to a two-year £4,500 legal wrangle with Ryanair",BBC,,13.0,12.0,0.9230769230769231,0.0,0.0,1.0,0.2,0.2
Meet ParalympicsGB's 26th team member,BBC,,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0
Justified or not? US military families on fears of Iran war,BBC,,11.0,11.0,1.0,0.0,1.0,0.0,0.15000000000000002,0.5
"One house, two faiths, one fasting season",BBC,,7.0,6.0,0.8571428571428571,0.0,0.0,2.0,0.0,0.0
Video shows moment point-blank gunshot misses Indian politician,BBC,,9.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0
Watch: Groceries remain on shelves after tornado rips roof off supermarket,BBC,,11.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0
Volcanic fragments rain down as Hawaii's Kilauea volcano erupts,BBC,,9.0,9.0,1.0,0.0,0.0,0.0,-0.15555555555555556,0.2888888888888889
Clair Obscur: Expedition 33 leads Bafta Games Awards nominations,BBC,,8.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0
New US ambassador to South Africa summoned over 'undiplomatic remarks',BBC,,10.0,10.0,1.0,0.0,0.0,0.0,0.13636363636363635,0.45454545454545453
Kanye West ordered to pay $140K in Malibu mansion renovation lawsuit,BBC,,11.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0
China approves 'ethnic unity' law requiring minorities to learn Mandarin,BBC,,10.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0
Head chef resigns from world-famous restaurant Noma amid abuse allegations,BBC,,11.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0
"Chinese national arrested over attempt to smuggle 2,000 queen ants from Kenya",BBC,,11.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0
The Pussycat Dolls confirm reunion: 'We're celebrating where we're at as women',BBC,,12.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0
"Chinese national arrested over attempt to smuggle 2,000 queen ants from Kenya",BBC,,11.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0
Questions mount for Hegseth over possible US involvement in strike on Iranian school,BBC,,13.0,13.0,1.0,0.0,0.0,0.0,0.0,1.0
British man charged in Dubai for alleged filming of Iranian missiles,BBC,,11.0,11.0,1.0,0.0,0.0,0.0,-0.05,0.05
'What if we're left with ruins?': Doubts creep in for Iranians who supported war,BBC,,15.0,15.0,1.0,0.0,1.0,0.0,-0.075,0.1
Sly fox sneaks on to cargo ship in Southampton and arrives in New York,BBC,,14.0,13.0,0.9285714285714286,0.0,0.0,0.0,0.13636363636363635,0.45454545454545453
"Epstein used modelling agent to recruit girls, Brazilian women tell BBC",BBC,,11.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0
Missing police drug detection dog found after search,BBC,,8.0,8.0,1.0,0.0,0.0,0.0,-0.2,0.05
Nineteen jailed over deadly Moscow concert attack,BBC,,7.0,7.0,1.0,0.0,0.0,0.0,-0.2,0.4
Jo Malone sued for using her own name in collaboration with Zara,BBC,,12.0,12.0,1.0,0.0,0.0,0.0,0.6,1.0
New US ambassador to South Africa summoned over 'undiplomatic remarks',BBC,,10.0,10.0,1.0,0.0,0.0,0.0,0.13636363636363635,0.45454545454545453
Europa League: Aston Villa goalless against Lille in cagey last-16 first leg,BBC,,12.0,12.0,1.0,0.0,0.0,0.0,0.25,0.3333333333333333
Abrar signing allays Hundred India-Pakistan concern,BBC,,7.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0
Mullins complains about Cheltenham ground after Fact Or File withdrawn,BBC,,10.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0
Draper fights to 'mind-blowing' win over Djokovic,BBC,,8.0,8.0,1.0,0.0,0.0,0.0,0.8,0.4
'Not appropriate' for Iran to be at World Cup - Trump,BBC,,10.0,10.0,1.0,0.0,0.0,0.0,-0.25,0.5
Russell accuses Ferrari of selfishness over rules,BBC,,7.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0
Uefa opens Neto disciplinary case after push on PSG ball boy,BBC,,11.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0
The BBC is in multiple languages,BBC,,6.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0
Jack Osbourne newborn,ABC,,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
What You Need to Know,ABC,,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0
"Suspect in attack on Michigan synagogue is dead, sources say",ABC,,10.0,10.0,1.0,0.0,0.0,1.0,-0.2,0.4
Active shooter reported at synagogue in Michigan,ABC,,7.0,7.0,1.0,0.0,0.0,0.0,-0.13333333333333333,0.6
Iran : 1st purported message from new supreme leader read on state TV,ABC,,12.0,12.0,1.0,0.0,0.0,0.0,0.13636363636363635,0.45454545454545453
"Stocks tumble, oil prices rise as Iran attacks key shipping route",ABC,,11.0,11.0,1.0,0.0,0.0,1.0,0.0,1.0
Conan O'Brien says it's a 'running battle' to prep for the Oscars,ABC,,12.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0
ISIS-inspired teens considered other targets before Gracie Mansion protest: Sources,ABC,,11.0,11.0,1.0,0.0,0.0,0.0,-0.125,0.375
Jack Osbourne names newborn daughter after dad Ozzy,ABC,,8.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0
"Google overhauls its Maps app, adding in more AI features to help people get around",ABC,,15.0,15.0,1.0,0.0,0.0,1.0,0.5,0.5
FBI warns Iran aspired to attack California with drones in retaliation for war: Alert,ABC,,14.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0
Married couple in their 80s dead after tornado strikes Indiana home: Authorities,ABC,,12.0,12.0,1.0,0.0,0.0,0.0,0.024999999999999994,0.325
Ukraine awaits White House sign-off on drone deal,ABC,,9.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0
Famed chef René Redzepi steps down from Noma,ABC,,8.0,8.0,1.0,0.0,0.0,0.0,-0.15555555555555556,0.2888888888888889
Average US long-term mortgage rate rises to 6.11%,ABC,,8.0,8.0,1.0,0.0,0.0,0.0,-0.15,0.39999999999999997
"2 injured, gunman dead in shooting at university",ABC,,7.0,7.0,1.0,0.0,0.0,1.0,-0.2,0.4
Russia convicts 19 over 2024 Moscow concert attack,ABC,,6.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0
"12-year-old collapses after fight, dies days later",ABC,,8.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0
At least 50 people killed in Ethiopia landslides,ABC,,7.0,7.0,1.0,0.0,0.0,0.0,-0.25,0.2
US struggles to get personnel out of Iraq: Sources,ABC,,9.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0
Sneak-peak at the performances at the Oscars,ABC,,8.0,6.0,0.75,0.0,0.0,0.0,0.0,0.0
Shelter rescues kitten who appeared inflated like a balloon,ABC,,9.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0
No deal in Homeland Security shutdown talks,ABC,,7.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0
Massachusetts officer saves woman in distress from incoming train,ABC,,9.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0
4th grader becomes dual‑enrolled college student,ABC,,7.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0
Woman with cancer has ‘no evidence of disease’ after life-changing transplant,ABC,,12.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0
Whale of a story in Hawaii,ABC,,6.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0
Jennifer Lopez pulls back the curtain of Las Vegas residency,ABC,,10.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0
Miami Heat’s Bam Adebayo scores historic 83-point game,ABC,,9.0,9.0,1.0,0.0,0.0,0.0,-0.2,0.2
Teacher's $20 kindness challenge spreads,ABC,,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
Gen Z's nostalgia for the 1990s,ABC,,6.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0
Connecticut home explosion kills at least 1,ABC,,6.0,6.0,1.0,0.0,0.0,0.0,-0.3,0.4
Democratic Rep. Jim Clyburn says he's running for reelection after all,ABC,,11.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0
"In Iran fight, US scrambles to adapt in its 1st major drone war",ABC,,13.0,12.0,0.9230769230769231,0.0,0.0,1.0,0.0625,0.5
"Fog of words: A look at Trump's messaging on Iran war timeline, endgame and more",ABC,,15.0,15.0,1.0,0.0,0.0,1.0,0.5,0.5
'Tremendous opportunity': UFC to host training sessions with FBI,ABC,,9.0,9.0,1.0,0.0,0.0,0.0,0.3333333333333333,1.0
